Animal_Id,Animal_Type,Animal_Breed
A0969277,DOG,CHIHUAHUA SH
A0969517,DOG,AUST CATTLE DOG
A0969550,DOG,MIXED BREED
A0969550,DOG,MIXED BREED
A0970018,DOG,NORW BUHUND
A0970129,DOG,CAIRN TERRIER
A0970499,DOG,CHIHUAHUA SH
A0970763,DOG,DALMATIAN
A0970794,DOG,DOBERMAN PINSCH
A0970836,DOG,CHIHUAHUA LH
A0971776,DOG,PIT BULL
A0972496,DOG,COLLIE SMOOTH
A0972496,DOG,COLLIE SMOOTH
A0972496,DOG,COLLIE SMOOTH
A0974279,DOG,LABRADOR RETR
A0974694,DOG,GERM SHEPHERD
A0977563,DOG,LABRADOR RETR
A0978196,DOG,POINTER
A0980028,DOG,PIT BULL
A0980543,DOG,PIT BULL
A0981251,DOG,BOXER
A0981599,DOG,GERM SHEPHERD
A0981904,DOG,GERM SHEPHERD
A0981904,DOG,GERM SHEPHERD
A0981913,DOG,PIT BULL
A0982021,DOG,ALASKAN HUSKY
A0982030,CAT,DOMESTIC SH
A0982658,DOG,LABRADOR RETR
A0982658,DOG,LABRADOR RETR
A0982658,DOG,LABRADOR RETR
A0983017,DOG,PIT BULL
A0983134,DOG,GERM SHEPHERD
A0983545,DOG,AMER BULLDOG
A0983588,DOG,BULLMASTIFF
A0983903,CAT,DOMESTIC SH
A0984077,DOG,MIXED BREED
A0985507,DOG,PIT BULL
A0985661,DOG,GERM SHEPHERD
A0985819,DOG,GERM SHEPHERD
A0986041,DOG,PIT BULL
A0986052,DOG,BOXER
A0986887,DOG,GERM SHEPHERD
A0986941,DOG,RAT TERRIER
A0987098,DOG,GERM SHEPHERD
A0987607,DOG,PIT BULL
A0988044,DOG,SHIH TZU
A0988439,DOG,GERM SHEPHERD
A0988439,DOG,GERM SHEPHERD
A0989263,DOG,PIT BULL
A0989672,DOG,CAIRN TERRIER
A0989784,DOG,PIT BULL
A0989917,DOG,PIT BULL
A0989917,DOG,PIT BULL
A0989968,CAT,DOMESTIC SH
A0990220,DOG,GERM SHEPHERD
A0991818,DOG,CHIHUAHUA SH
A0991994,DOG,COLLIE ROUGH
A0992721,DOG,BOXER
A0992867,DOG,PIT BULL
A0992867,DOG,PIT BULL
A0993954,DOG,PIT BULL
A0994062,DOG,PIT BULL
A0994133,DOG,LABRADOR RETR
A0994137,DOG,REDBONE HOUND
A0994846,DOG,PIT BULL
A0995010,DOG,PIT BULL
A0998289,DOG,CHINESE SHARPEI
A0998347,CAT,DOMESTIC SH
A0998966,DOG,PIT BULL
A0999124,DOG,AM PIT BULL TER
A0999124,DOG,AM PIT BULL TER
A1000140,DOG,PIT BULL
A1000868,DOG,AMERICAN STAFF
A1001177,DOG,AMERICAN STAFF
A1001177,DOG,AMERICAN STAFF
A1001177,DOG,AMERICAN STAFF
A1001177,DOG,AMERICAN STAFF
